"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","regulation of actin filament polymerization","2.94%","2","67","31","19512","9.98e-2","1.00e+0","18.79","1.00e+0","9.98e-1","5.07e-3"
"GOTERM_MF_DIRECT","ATP-dependent activity, acting on DNA","2.94%","2","66","31","19272","9.95e-2","1.00e+0","18.84","1.00e+0","1.00e+0","5.04e-3"
"KEGG_PATHWAY","Pathways in cancer","8.82%","6","45","533","9496","9.85e-2","8.17e-1","2.38","1.00e+0","7.99e-1","3.85e-2"
"GOTERM_BP_DIRECT","response to steroid hormone","2.94%","2","67","30","19512","9.67e-2","1.00e+0","19.41","1.00e+0","9.98e-1","4.75e-3"
"GOTERM_BP_DIRECT","actomyosin structure organization","2.94%","2","67","30","19512","9.67e-2","1.00e+0","19.41","1.00e+0","9.98e-1","4.75e-3"
"GOTERM_BP_DIRECT","negative regulation of smooth muscle cell proliferation","2.94%","2","67","30","19512","9.67e-2","1.00e+0","19.41","1.00e+0","9.98e-1","4.75e-3"
"GOTERM_BP_DIRECT","positive regulation of gene expression","7.35%","5","67","515","19512","9.66e-2","1.00e+0","2.83","1.00e+0","9.98e-1","3.18e-2"
"GOTERM_MF_DIRECT","fibronectin binding","2.94%","2","66","30","19272","9.65e-2","1.00e+0","19.47","1.00e+0","1.00e+0","4.72e-3"
"KEGG_PATHWAY","Thermogenesis","5.88%","4","45","234","9496","9.37e-2","8.17e-1","3.61","1.00e+0","7.99e-1","2.43e-2"
"GOTERM_BP_DIRECT","positive regulation of p38MAPK cascade","2.94%","2","67","29","19512","9.37e-2","1.00e+0","20.08","1.00e+0","9.98e-1","4.44e-3"
"GOTERM_BP_DIRECT","basement membrane organization","2.94%","2","67","29","19512","9.37e-2","1.00e+0","20.08","1.00e+0","9.98e-1","4.44e-3"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","7.35%","5","45","371","9496","9.17e-2","8.17e-1","2.84","1.00e+0","7.99e-1","3.01e-2"
"INTERPRO","Spectrin/alpha-actinin","2.94%","2","67","30","20827","9.09e-2","1.00e+0","20.72","1.00e+0","1.00e+0","4.18e-3"
"GOTERM_BP_DIRECT","positive regulation of vasoconstriction","2.94%","2","67","28","19512","9.06e-2","1.00e+0","20.80","1.00e+0","9.98e-1","4.14e-3"
"GOTERM_BP_DIRECT","extracellular matrix organization","4.41%","3","67","147","19512","8.85e-2","1.00e+0","5.94","1.00e+0","9.98e-1","1.41e-2"
"GOTERM_BP_DIRECT","positive regulation of cell-matrix adhesion","2.94%","2","67","27","19512","8.75e-2","1.00e+0","21.57","1.00e+0","9.98e-1","3.86e-3"
"KEGG_PATHWAY","Chemical carcinogenesis - reactive oxygen species","5.88%","4","45","227","9496","8.74e-2","8.17e-1","3.72","1.00e+0","7.99e-1","2.20e-2"
"GOTERM_CC_DIRECT","extracellular exosome","17.65%","12","66","2242","20808","8.63e-2","6.98e-1","1.69","1.00e+0","6.65e-1","4.78e-2"
"GOTERM_BP_DIRECT","response to bacterium","4.41%","3","67","143","19512","8.45e-2","1.00e+0","6.11","1.00e+0","9.98e-1","1.31e-2"
"GOTERM_BP_DIRECT","embryonic placenta development","2.94%","2","67","26","19512","8.44e-2","1.00e+0","22.40","1.00e+0","9.98e-1","3.58e-3"
