	Log2_Fold_Change	Mean_Expression	EnsemblID	GeneSymbol	Description
0	1.261583959484324	7.929949796250947	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1
1	1.2421897131652695	7.059627617159119	ENSG00000079739	PGM1	phosphoglucomutase 1
2	1.125948532261817	7.316611100781317	ENSG00000188641	DPYD	dihydropyrimidine dehydrogenase
3	1.036531421361218	5.534691455859153	ENSG00000162688	AGL	amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase
4	2.0122673629692187	7.138711462689937	ENSG00000265972	TXNIP	thioredoxin interacting protein
5	-2.3672924862240867	5.520499202876854	ENSG00000116711	PLA2G4A	phospholipase A2 group IVA
6	1.0864315825911437	5.897245658176903	ENSG00000116016	EPAS1	endothelial PAS domain protein 1
7	-1.573734284414705	15.353803251377125	ENSG00000115414	FN1	fibronectin 1
8	-1.119470662535769	5.212655041637381	ENSG00000115461	IGFBP5	insulin like growth factor binding protein 5
9	1.012404009405124	6.088188793859073	ENSG00000131389	SLC6A6	solute carrier family 6 member 6
10	-1.1466610292937025	5.894768251934808	ENSG00000163661	PTX3	pentraxin 3
11	1.27914505087901	5.491371941362802	ENSG00000169429	CXCL8	C-X-C motif chemokine ligand 8
12	1.226147530237517	5.165711399052907	ENSG00000138759	FRAS1	Fraser extracellular matrix complex subunit 1
13	1.1641053723127197	5.072786602509551	ENSG00000138640	FAM13A	family with sequence similarity 13 member A
14	1.0863918982313816	5.807575172877157	ENSG00000138650	PCDH10	protocadherin 10
15	1.0342068257246098	7.216945408763578	ENSG00000153071	DAB2	DAB adaptor protein 2
16	1.021479530079139	5.625173250964266	ENSG00000111912	NCOA7	nuclear receptor coactivator 7
17	1.049170247981026	6.161237173711762	ENSG00000146376	ARHGAP18	Rho GTPase activating protein 18
18	1.4071388587541414	7.676822081102225	ENSG00000079819	EPB41L2	erythrocyte membrane protein band 4.1 like 2
19	1.565077634270411	9.496149584606291	ENSG00000118515	SGK1	serum/glucocorticoid regulated kinase 1
20	1.101417613102889	6.262133368738478	ENSG00000112379	ARFGEF3	ARFGEF family member 3
21	1.4066937533839443	8.49224316462825	ENSG00000164442	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
22	1.022836244582738	8.95196070720816	ENSG00000152818	UTRN	utrophin
23	1.1036457764097838	5.192213362189802	ENSG00000164506	STXBP5	syntaxin binding protein 5
24	1.4607423169304727	6.312357947621748	ENSG00000111961	SASH1	SAM and SH3 domain containing 1
25	1.1383236284630982	5.122629269970201	ENSG00000055208	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
26	1.130016805168328	5.1484422610519855	ENSG00000131023	LATS1	large tumor suppressor kinase 1
27	1.0311152935635004	8.793906632448078	ENSG00000131018	SYNE1	spectrin repeat containing nuclear envelope protein 1
