	Log2_Fold_Change	Mean_Expression	EnsemblID	GeneSymbol	Description
0	-2.3672924862240867	5.520499202876854	ENSG00000116711	PLA2G4A	phospholipase A2 group IVA
1	-1.573734284414705	15.353803251377125	ENSG00000115414	FN1	fibronectin 1
2	-1.119470662535769	5.212655041637381	ENSG00000115461	IGFBP5	insulin like growth factor binding protein 5
3	-1.1466610292937025	5.894768251934808	ENSG00000163661	PTX3	pentraxin 3
4	-1.015364567626019	9.079419461756862	ENSG00000161057	PSMC2	proteasome 26S subunit, ATPase 2
5	-1.8613602979332933	6.379566789283676	ENSG00000231721	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
6	-3.542151137358635	6.729055676172293	ENSG00000221866	PLXNA4	plexin A4
7	-1.7582360931709191	6.66133688603756	ENSG00000156466	GDF6	growth differentiation factor 6
8	-1.3978444506962011	8.549438346457396	ENSG00000187498	COL4A1	collagen type IV alpha 1 chain
9	-1.1720535660673868	9.554616724763132	ENSG00000134871	COL4A2	collagen type IV alpha 2 chain
10	-1.088812296968669	6.657679330625275	ENSG00000137809	ITGA11	integrin subunit alpha 11
11	-2.8252592085242743	5.076764955917036	ENSG00000197632	SERPINB2	serpin family B member 2
12	-1.4285076488668986	5.022963048444042	ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1
13	-1.6024716000445205	6.776660138730692	ENSG00000229807	XIST	X inactive specific transcript
14	-3.043270391193436	5.492127826009506	ENSG00000211459	MT-RNR1	s-rRNA
15	-2.886988705645474	5.861465081620896	ENSG00000210082	MT-RNR2	l-rRNA
