Geneid	Log2_Fold_Change	Mean_Expression
ENSG00000116285.13	1.261583959484324	7.929949796250947
ENSG00000079739.17	1.2421897131652697	7.059627617159119
ENSG00000188641.14	1.125948532261817	7.3166111007813175
ENSG00000162688.17	1.036531421361218	5.534691455859153
ENSG00000265972.6	2.0122673629692187	7.138711462689937
ENSG00000116016.14	1.0864315825911435	5.897245658176903
ENSG00000131389.18	1.0124040094051239	6.088188793859073
ENSG00000169429.12	1.27914505087901	5.491371941362802
ENSG00000138759.20	1.226147530237517	5.165711399052907
ENSG00000138640.15	1.1641053723127195	5.0727866025095505
ENSG00000138650.9	1.0863918982313816	5.807575172877157
ENSG00000153071.15	1.0342068257246098	7.2169454087635785
ENSG00000111912.20	1.021479530079139	5.625173250964266
ENSG00000146376.11	1.049170247981026	6.161237173711762
ENSG00000079819.20	1.4071388587541414	7.676822081102225
ENSG00000118515.12	1.565077634270411	9.496149584606293
ENSG00000112379.9	1.101417613102889	6.262133368738478
ENSG00000164442.11	1.4066937533839443	8.49224316462825
ENSG00000152818.20	1.022836244582738	8.95196070720816
ENSG00000164506.16	1.1036457764097838	5.192213362189802
ENSG00000111961.19	1.4607423169304727	6.312357947621748
ENSG00000055208.20	1.1383236284630982	5.122629269970201
ENSG00000131023.13	1.130016805168328	5.1484422610519855
ENSG00000131018.25	1.0311152935635004	8.793906632448078
ENSG00000146674.16	1.1877026605439829	5.4317545207449385
ENSG00000105974.13	1.0567060475486763	7.735720658365453
ENSG00000104332.12	1.447914406135153	9.906004197302227
ENSG00000104419.17	2.0057593886021277	5.853329257983832
ENSG00000106772.19	1.2846516020922163	5.280762261370212
ENSG00000095383.20	1.2339297654259473	6.8574380400082955
ENSG00000185585.20	1.3379597436595372	5.709577325860066
ENSG00000170525.21	1.5375872028789743	6.674694924091822
ENSG00000225830.16	1.3562255148193225	7.528700687656954
ENSG00000198682.13	1.0957920141485866	7.6253530623035495
ENSG00000148700.15	1.1548544927433024	6.657270832740688
ENSG00000099204.23	1.124085141198453	5.465199242713927
ENSG00000176171.12	1.6652665273012257	5.902524309465897
ENSG00000117984.15	1.0492294425570048	8.74284487737581
ENSG00000180660.9	1.2808017084663144	5.664629641757431
ENSG00000185567.7	1.3712351979493373	10.687974892819025
ENSG00000137831.15	1.199271234181877	8.226053464087219
ENSG00000129038.16	1.0371812650605392	6.604039090507695
ENSG00000166825.15	3.0077131344427377	5.401834940215924
ENSG00000197879.17	1.0357438754910335	8.158416596709218
ENSG00000196535.20	1.5801945444317669	8.533901644188076
ENSG00000266074.11	1.016955656866613	5.828044977789517
ENSG00000130702.15	1.827760562596084	5.419269199624031
ENSG00000100234.12	1.6447065133564633	7.512512459557264
ENSG00000198899.2	1.1097333976461607	7.109437015417727
ENSG00000198938.2	1.0832305411449328	7.598371374115436
ENSG00000198886.2	1.0249217621412399	7.661182283791703
ENSG00000198727.2	1.1527080225864106	7.103306330471318
