	EnsemblID	GeneSymbol	Description
0	ENSG00000205189	ZBTB10	zinc finger and BTB domain containing 10
1	ENSG00000169174	PCSK9	proprotein convertase subtilisin/kexin type 9
2	ENSG00000007038	PRSS21	serine protease 21
3	ENSG00000168491	CCDC110	coiled-coil domain containing 110
4	ENSG00000152292	SH2D6	SH2 domain containing 6
5	ENSG00000143816	WNT9A	Wnt family member 9A
6	ENSG00000283122	HYMAI	hydatidiform mole associated and imprinted
7	ENSG00000161921	CXCL16	C-X-C motif chemokine ligand 16
8	ENSG00000003989	SLC7A2	solute carrier family 7 member 2
9	ENSG00000111913	RIPOR2	RHO family interacting cell polarization regulator 2
10	ENSG00000281501	SEPSECS-AS1	SEPSECS antisense RNA 1 (head to head)
11	ENSG00000307390		
12	ENSG00000012223	LTF	lactotransferrin
13	ENSG00000126890	CTAG2	cancer/testis antigen 2
14	ENSG00000105246	EBI3	Epstein-Barr virus induced 3
15	ENSG00000163823	CCR1	C-C motif chemokine receptor 1
16	ENSG00000121966	CXCR4	C-X-C motif chemokine receptor 4
17	ENSG00000261420	MPC1-DT	MPC1 divergent transcript
18	ENSG00000293147	SLC9A7P1	solute carrier family 9 member 7 pseudogene 1
19	ENSG00000205403	CFI	complement factor I
20	ENSG00000274752	TRBV12-3	T cell receptor beta variable 12-3
21	ENSG00000285849		
22	ENSG00000164237	CMBL	carboxymethylenebutenolidase homolog
23	ENSG00000232859	LYRM9	LYR motif containing 9
24	ENSG00000173391	OLR1	oxidized low density lipoprotein receptor 1
25	ENSG00000225805	DEFB131B	defensin beta 131B
26	ENSG00000291044	BCRP2	BCR pseudogene 2
27	ENSG00000298162	LOC124903483	uncharacterized LOC124903483
28	ENSG00000172935	MRGPRF	MAS related GPR family member F
29	ENSG00000221867	MAGEA3	MAGE family member A3
30	ENSG00000304135		
31	ENSG00000176532	PRR15	proline rich 15
32	ENSG00000170775	GPR37	G protein-coupled receptor 37
33	ENSG00000175084	DES	desmin
34	ENSG00000151468	CCDC3	coiled-coil domain containing 3
35	ENSG00000273998		
36	ENSG00000154252	GAL3ST2	galactose-3-O-sulfotransferase 2
37	ENSG00000102287	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon
38	ENSG00000144331	ZNF385B	zinc finger protein 385B
39	ENSG00000241218	CSP2	CS pseudogene 2
40	ENSG00000236130	PTCSC2	papillary thyroid carcinoma susceptibility candidate 2
41	ENSG00000289351		
42	ENSG00000272744		
43	ENSG00000133863	TEX15	testis expressed 15, meiosis and synapsis associated
44	ENSG00000101188	NTSR1	neurotensin receptor 1
45	ENSG00000236244	SLC35F3-AS1	SLC35F3 antisense RNA 1
46	ENSG00000298945		
47	ENSG00000307216		
48	ENSG00000141639	MAPK4	mitogen-activated protein kinase 4
49	ENSG00000243232	PCDHAC2	protocadherin alpha subfamily C, 2
50	ENSG00000233922	LINC01694	long intergenic non-protein coding RNA 1694
51	ENSG00000304466		
52	ENSG00000263004	AKAP1-DT	AKAP1 divergent transcript
53	ENSG00000167083	GNGT2	G protein subunit gamma transducin 2
54	ENSG00000104369	JPH1	junctophilin 1
55	ENSG00000124875	CXCL6	C-X-C motif chemokine ligand 6
56	ENSG00000135111	TBX3	T-box transcription factor 3
57	ENSG00000006377	DLX6	distal-less homeobox 6
58	ENSG00000286675		
59	ENSG00000179674	ARL14	ARF like GTPase 14
60	ENSG00000306985		
61	ENSG00000240457	RN7SL472P	RNA, 7SL, cytoplasmic 472, pseudogene
62	ENSG00000299739		
63	ENSG00000158022	TRIM63	tripartite motif containing 63
64	ENSG00000259968		
65	ENSG00000305073		
66	ENSG00000229178		
67	ENSG00000280744	LINC01173	long intergenic non-protein coding RNA 1173
68	ENSG00000201221	RNU4-40P	RNA, U4 small nuclear 40, pseudogene
69	ENSG00000255002	LINC02324	long intergenic non-protein coding RNA 2324
70	ENSG00000250327	RPSAP70	ribosomal protein SA pseudogene 70
71	ENSG00000215481	BCRP3	BCR pseudogene 3
72	ENSG00000246774	COL25A1-DT	COL25A1 divergent transcript
73	ENSG00000115596	WNT6	Wnt family member 6
74	ENSG00000305089		
75	ENSG00000244564	PRICKLE2-DT	PRICKLE2 divergent transcript
76	ENSG00000306999		
77	ENSG00000294807		
78	ENSG00000234577	SYNE1-AS1	SYNE1 antisense RNA 1
79	ENSG00000214402	LCNL1	lipocalin like 1
80	ENSG00000047597	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein
81	ENSG00000123496	IL13RA2	interleukin 13 receptor subunit alpha 2
82	ENSG00000293349	LOC344967	acyl-CoA thioesterase 7 pseudogene
