Geneid	Log2_Fold_Change	Mean_Expression
ENSG00000116711.10	-2.3672924862240867	5.520499202876854
ENSG00000115414.21	-1.573734284414705	15.353803251377123
ENSG00000115461.5	-1.119470662535769	5.212655041637381
ENSG00000163661.4	-1.1466610292937025	5.894768251934808
ENSG00000161057.13	-1.015364567626019	9.079419461756862
ENSG00000231721.9	-1.8613602979332935	6.379566789283676
ENSG00000221866.10	-3.542151137358635	6.729055676172293
ENSG00000156466.11	-1.7582360931709191	6.66133688603756
ENSG00000187498.17	-1.3978444506962013	8.549438346457396
ENSG00000134871.20	-1.1720535660673868	9.554616724763132
ENSG00000137809.17	-1.088812296968669	6.657679330625275
ENSG00000197632.9	-2.8252592085242743	5.076764955917036
ENSG00000124225.16	-1.4285076488668986	5.022963048444042
ENSG00000229807.14	-1.6024716000445203	6.776660138730692
ENSG00000211459.2	-3.0432703911934356	5.492127826009506
ENSG00000210082.2	-2.886988705645474	5.861465081620896
