Geneid	Log2_Fold_Change	Mean_Expression
ENSG00000248527.1	-1.7053281684655186	5.785952780414998
ENSG00000160075.12	-1.0913510042148813	5.080516843334541
ENSG00000116237.16	-1.4113824826108425	5.593984649366313
ENSG00000001461.18	-1.18090831188307	5.4152599265393615
ENSG00000198830.13	-1.0608612562200657	6.7857146660931225
ENSG00000204138.13	-1.038525133697946	5.128866534650488
ENSG00000200087.1	1.445647078076166	5.728335316987065
ENSG00000168528.12	-1.0774795555091705	5.817377111139203
ENSG00000159658.15	-1.0037640790803568	5.24351000136785
ENSG00000116133.13	-1.0585119300084918	7.392144516134243
ENSG00000172380.6	-1.1411572540506274	6.989447331298259
ENSG00000153904.21	-1.1467097841032334	5.730808902034578
ENSG00000117505.13	-1.0844665605277974	5.499460557420327
ENSG00000117525.14	-1.038277754166156	7.21011883014824
ENSG00000265972.6	1.8762035645739337	8.144845144174546
ENSG00000117362.13	-1.0707272842598519	5.4529482830093485
ENSG00000143418.20	-1.1011419122667636	5.934777369408949
ENSG00000143515.20	-1.0623081039366138	5.839656088655158
ENSG00000162734.13	-1.1023355453178763	6.4270632132261065
ENSG00000152332.16	-1.2274953044131944	6.507411271690649
ENSG00000197965.12	-1.1710944776301373	5.112506564326166
ENSG00000143147.15	-1.0311277357268054	5.127653544391458
ENSG00000213064.10	-1.3639115503598056	6.466359010448342
ENSG00000116199.12	-1.0700859898173434	5.3683957935652
ENSG00000158711.14	-1.0994093268781953	5.472447654614926
ENSG00000123684.13	-1.1250043639645435	5.550130619699054
ENSG00000203668.3	-1.0342309407073076	5.299986449823798
ENSG00000213626.13	-1.2818510823489717	7.351755270947012
ENSG00000114978.18	-1.0633673045717869	5.601694148141659
ENSG00000084090.14	-1.0438913767752815	6.051861689242371
ENSG00000114999.8	-1.1341337483636567	5.289102779883837
ENSG00000125538.12	1.8507137402031768	6.100804587437288
ENSG00000144579.9	-1.0410923934024057	5.38699480606723
ENSG00000144580.15	-1.212672139974953	5.136303148022662
ENSG00000144567.11	-1.0434214273327518	5.66056884791735
ENSG00000225733.8	-1.2420728968751034	5.248653270598231
ENSG00000091317.8	-1.052712342007621	5.836827377599395
ENSG00000153560.12	-1.0411555731914692	5.417924991705617
ENSG00000206538.9	-1.309916262389982	6.130334411959327
ENSG00000163428.4	-1.1192473848207953	5.032515482179086
ENSG00000173706.15	-1.041928477765837	7.934994041598225
ENSG00000127418.15	-1.4832261707471703	5.383896991615137
ENSG00000078140.14	-1.0519506128441325	5.015957746622827
ENSG00000134852.15	-1.0552297108921689	5.132234520436163
ENSG00000138675.17	-1.204640625473477	6.257183785525565
ENSG00000138685.18	-1.2426242057609045	5.267759361725031
ENSG00000151012.13	-1.1743777459472042	5.285357609460748
ENSG00000129128.13	-1.253593271383468	5.268733052944961
ENSG00000134363.12	-2.0922500880585515	5.356655718869309
ENSG00000118985.16	-1.0986035156790184	5.822340100549093
ENSG00000174136.13	-1.1078523338578545	6.263203796778129
ENSG00000187678.10	-1.0258098728677574	6.3010814579305645
ENSG00000155850.9	-1.2539147698294508	5.255626815373553
ENSG00000070614.15	-1.1177863581351097	7.637671181736332
ENSG00000145860.13	-1.159884691039224	5.552173889516768
ENSG00000120137.7	-1.0406220979258975	5.53046182176827
ENSG00000169230.10	-1.0034315162072796	5.111675089470511
ENSG00000157593.20	-1.0070886508140866	5.225251432107855
ENSG00000065308.5	-1.2771820405890502	8.147280237352378
ENSG00000112306.8	-1.0218072038842498	5.969606293962043
ENSG00000136295.16	-1.0116849166044526	7.166354545707378
ENSG00000136240.10	-1.1618288624950832	6.068912334307681
ENSG00000122641.11	-1.0471207376419178	7.299415917223337
ENSG00000106636.9	-1.032759586825187	5.726116515615287
ENSG00000105968.19	-1.2770908683022881	6.53730806823998
ENSG00000106609.16	-1.0978073140150988	5.540082994884791
ENSG00000105974.13	-1.2191796408540743	8.264073682139792
ENSG00000106484.16	-1.212897441872121	5.821567965719421
ENSG00000128567.17	-1.062779517781733	5.182679125752059
ENSG00000104635.15	-1.0317268074082575	5.508406148614913
ENSG00000168077.14	-1.0975095844734124	5.5003850927303475
ENSG00000104368.19	1.2400523936168995	9.471651998508092
ENSG00000119508.18	-1.0728562142021714	6.000251443174047
ENSG00000198121.15	-1.1228962766055783	5.6501926237421545
ENSG00000136869.16	-1.0824330325185567	5.270467105920767
ENSG00000106780.9	-1.3288840844820795	5.809443734885937
ENSG00000119403.15	-1.052306717351466	5.78521170918993
ENSG00000148180.22	1.4657706715843215	7.846322543188847
ENSG00000107130.10	-1.0086706933711937	5.870984080491668
ENSG00000148248.14	-1.0244400125419464	6.942804641506525
ENSG00000107984.10	-1.34904030128462	5.21421934240043
ENSG00000165476.14	-1.0580443597481448	5.630459215920489
ENSG00000148730.7	-1.0485775841187648	6.366550917819653
ENSG00000122863.6	-1.227215803703853	6.74192783232409
ENSG00000213551.7	-1.1251360604144702	5.323845520558004
ENSG00000155254.13	-1.030877479749857	5.973746782358553
ENSG00000148841.17	-1.2824253823469203	7.335547892512306
ENSG00000138166.6	-1.065244948334323	6.552263592341335
ENSG00000148848.15	-1.4632515179161079	5.530482366233687
ENSG00000133818.14	-1.0694767003174341	5.140783859680717
ENSG00000205213.14	-1.213698831627175	5.466739322622202
ENSG00000176697.20	-1.428014247301384	5.216293181836392
ENSG00000149177.15	-1.0431066706494834	6.750473006319076
ENSG00000110108.11	-1.0839013904842156	5.043853849405496
ENSG00000149485.19	-1.1830017433848035	5.959200707813419
ENSG00000173457.11	-1.0602021852380705	5.735846481801344
ENSG00000150687.12	-1.0753379483450072	8.76928104778029
ENSG00000174804.4	-1.1123948504032315	5.197786269749805
ENSG00000152558.15	-1.0695318443299424	5.615328177971597
ENSG00000178202.14	-1.2273297699712007	5.016504744782953
ENSG00000173456.5	-1.1319028123028314	5.069768064973677
ENSG00000154096.14	-1.1809462567480251	6.984176610063303
ENSG00000111206.13	-1.3674824784201647	6.255669104593008
ENSG00000134531.10	-1.1302199071687928	6.1075536931118855
ENSG00000029153.15	-1.3943291069441965	5.057547988992681
ENSG00000139211.7	-1.4198771313957907	6.0005960678120775
ENSG00000094916.16	-1.0254796123925676	8.633666396751185
ENSG00000139278.10	-1.334203423057911	5.587554379265492
ENSG00000235162.9	-1.2523174761316174	5.382308090188076
ENSG00000176871.9	-1.1426491105499714	5.985344995006214
ENSG00000110917.9	-1.1144581851234996	7.293836179988091
