Geneid	Log2_Fold_Change	Mean_Expression
ENSG00000116285.13	1.2723081586556866	8.002079996183271
ENSG00000079739.17	1.2490823907052038	6.919826983535966
ENSG00000188641.14	1.140771504402407	7.295848040980702
ENSG00000162688.17	1.0434403954332563	5.607272504536986
ENSG00000265972.6	2.0219408184036816	7.2112176929413
ENSG00000143369.15	1.5961472379575534	5.051206481580605
ENSG00000163545.11	1.0073124593742078	5.141083439328684
ENSG00000116016.14	1.099397489896777	5.9695413003994116
ENSG00000131389.18	1.0111077072511288	6.079200019682309
ENSG00000169429.12	1.2903241341381193	5.562306151203216
ENSG00000138759.20	1.2362182816469431	5.235308843136509
ENSG00000138650.9	1.089588562855809	5.656253771837557
ENSG00000153071.15	1.0406355986531235	7.2917994750625175
ENSG00000111912.20	1.0318280712497057	5.698206810607463
ENSG00000146376.11	1.0598961441108319	6.232416807913261
ENSG00000079819.20	1.416236435210763	7.750575208233354
ENSG00000112282.18	1.452224386773369	5.0214258837327534
ENSG00000118515.12	1.5741222401055506	9.569330352773541
ENSG00000112379.9	1.1119610691537698	6.335508908188657
ENSG00000164442.11	1.4186892343080988	8.570069853110496
ENSG00000152818.20	1.0323699320803108	9.025884636470801
ENSG00000164506.16	1.093629531476756	5.141811663989942
ENSG00000111961.19	1.4715362113811228	6.385765103459206
ENSG00000055208.20	1.1459206371634938	5.19555420272296
ENSG00000131023.13	1.1520256900376955	5.135537855495782
ENSG00000131018.25	1.0434550083257506	8.807753103023774
ENSG00000146674.16	1.1975786321255466	5.504746784026816
ENSG00000105974.13	1.0664452499031514	7.809257579659777
ENSG00000104332.12	1.457764720485283	9.98260778318861
ENSG00000104419.17	2.0205352858830743	5.925384238042449
ENSG00000106772.19	1.286845757862059	5.183783712142048
ENSG00000095383.20	1.245441180322688	6.930295271548824
ENSG00000185585.20	1.348443411843661	5.7827269142961075
ENSG00000167123.20	1.000752653411249	5.222577534686564
ENSG00000170525.21	1.5458534293068578	6.747920496738129
ENSG00000225830.16	1.3677740010573318	7.587527269849625
ENSG00000198682.13	1.1038392527074192	7.672923223233942
ENSG00000148700.15	1.1605723051241723	6.690652535837403
ENSG00000099204.23	1.1357940712579957	5.537105622942813
ENSG00000176171.12	1.5848032834278811	6.031446473460834
ENSG00000117984.15	1.0612250128003744	8.811201925597786
ENSG00000185567.7	1.3795911391223559	10.744354452469576
ENSG00000137831.15	1.209131413795948	8.300002396567956
ENSG00000129038.16	1.0460392381449068	6.4807166584586735
ENSG00000166825.15	3.0053055970545675	5.339392959863874
ENSG00000197879.17	1.044910385568726	8.232583203006516
ENSG00000196535.20	1.5897255343385472	8.607659464852695
ENSG00000266074.11	1.025125836852446	5.82507597700782
ENSG00000130702.15	1.8444274334524673	5.466077934084316
ENSG00000100234.12	1.6529996369576763	7.587483943101075
ENSG00000100106.22	1.0013168473911929	7.196115044293987
