	Log2_Fold_Change	EnsemblID	GeneSymbol	Description
0	1.2723081586556866	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1
1	1.7467142656648391	ENSG00000088280	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3
2	1.6982660065874151	ENSG00000162512	SDC3	syndecan 3
3	1.940084530277402	ENSG00000214193	SH3D21	SH3 domain containing 21
4	1.311571857868259	ENSG00000162407	PLPP3	phospholipid phosphatase 3
5	1.2490823907052038	ENSG00000079739	PGM1	phosphoglucomutase 1
6	1.3143462769676697	ENSG00000154027	AK5	adenylate kinase 5
7	1.156835363285308	ENSG00000162645	GBP2	guanylate binding protein 2
8	1.140771504402407	ENSG00000188641	DPYD	dihydropyrimidine dehydrogenase
9	1.0434403954332565	ENSG00000162688	AGL	amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase
10	1.819236980636259	ENSG00000143061	IGSF3	immunoglobulin superfamily member 3
11	2.0219408184036816	ENSG00000265972	TXNIP	thioredoxin interacting protein
12	1.5961472379575534	ENSG00000143369	ECM1	extracellular matrix protein 1
13	1.0019157763444984	ENSG00000143409	MINDY1	MINDY lysine 48 deubiquitinase 1
14	1.0934421186044148	ENSG00000157064	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
15	1.0073124593742078	ENSG00000163545	NUAK2	NUAK family kinase 2
16	1.4411033179890644	ENSG00000008118	CAMK1G	calcium/calmodulin dependent protein kinase IG
17	1.099397489896777	ENSG00000116016	EPAS1	endothelial PAS domain protein 1
18	1.0577841350291006	ENSG00000243244	STON1	stonin 1
19	1.015421476282811	ENSG00000168874	ATOH8	atonal bHLH transcription factor 8
20	1.1873510288012556	ENSG00000172985	SH3RF3	SH3 domain containing ring finger 3
21	1.7489208609454696	ENSG00000153253	SCN3A	sodium voltage-gated channel alpha subunit 3
22	1.1836893599422331	ENSG00000168497	CAVIN2	caveolae associated protein 2
23	1.15335103926457	ENSG00000180914	OXTR	oxytocin receptor
24	1.0111077072511288	ENSG00000131389	SLC6A6	solute carrier family 6 member 6
25	1.2905528544084692	ENSG00000114023	FAM162A	family with sequence similarity 162 member A
26	1.0611730485386932	ENSG00000160145	KALRN	kalirin RhoGEF kinase
27	1.023699011308584	ENSG00000159733	ZFYVE28	zinc finger FYVE-type containing 28
28	1.8513693176108104	ENSG00000109610	SOD3	superoxide dismutase 3
29	1.2903241341381193	ENSG00000169429	CXCL8	C-X-C motif chemokine ligand 8
30	1.2362182816469431	ENSG00000138759	FRAS1	Fraser extracellular matrix complex subunit 1
31	1.215350918930235	ENSG00000138642	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
32	1.1237244229238614	ENSG00000138640	FAM13A	family with sequence similarity 13 member A
33	1.0589440841556463	ENSG00000164096	ARLN	allregulin
34	1.089588562855809	ENSG00000138650	PCDH10	protocadherin 10
35	1.0792438727630271	ENSG00000171503	ETFDH	electron transfer flavoprotein dehydrogenase
36	1.343002345569397	ENSG00000137628	DDX60	DExD/H-box helicase 60
37	1.2264588469059725	ENSG00000181381	DDX60L	DExD/H-box 60 like
38	1.0406355986531235	ENSG00000153071	DAB2	DAB adaptor protein 2
