Geneid	Log2_Fold_Change	Mean_Expression
ENSG00000248527.1	-1.6849412839275963	6.3461628422632845
ENSG00000160075.12	-1.0798289725363066	5.165661245043403
ENSG00000116237.16	-1.3890128268153257	5.595281873029132
ENSG00000001461.18	-1.1885516069389954	5.464033561925646
ENSG00000198830.13	-1.0905832285889963	6.444012940690708
ENSG00000204138.13	-1.0373805009561528	5.140719083481425
ENSG00000200087.1	1.4526357945580761	5.803664323327835
ENSG00000168528.12	-1.0560698472423535	5.702729182111459
ENSG00000116133.13	-1.0690673663152008	7.276420652230218
ENSG00000172380.6	-1.1364860103122902	7.0667354220629885
ENSG00000153904.21	-1.135707830394911	5.818915042913311
ENSG00000117505.13	-1.073434436318049	5.53965726704468
ENSG00000117525.14	-1.0328709667038813	7.289669349363788
ENSG00000265972.6	1.8818340069692718	8.222188102143141
ENSG00000117362.13	-1.0581277271894223	5.437185382405987
ENSG00000143418.20	-1.1015182457079105	5.256317350415884
ENSG00000143515.20	-1.056319900817961	5.917525778678755
ENSG00000162734.13	-1.112284957819658	6.419241348640622
ENSG00000152332.16	-1.2221006393614084	6.585934191296264
ENSG00000197965.12	-1.1693526478582186	5.18910140536456
ENSG00000143147.15	-1.0186634645374824	5.214187128094942
ENSG00000213064.10	-1.3507939640698305	6.422275315991424
ENSG00000116199.12	-1.0570806643627755	5.453356811000808
ENSG00000158711.14	-1.0928578340954074	5.5479388212308365
ENSG00000123684.13	-1.1244185827157116	5.626164144388136
ENSG00000203668.3	-1.0289078108895788	5.378242157907078
ENSG00000213626.13	-1.277584960886884	7.429850601605095
ENSG00000114978.18	-1.0624944810308943	5.678267365147367
ENSG00000084090.14	-1.0948782341019774	5.938771995285714
ENSG00000114999.8	-1.1232387492828515	5.359378130299459
ENSG00000125538.12	1.830908794332812	6.197724211850162
ENSG00000144579.9	-1.038459940363368	5.46233948647723
ENSG00000144580.15	-1.2095566469147805	5.213718440546398
ENSG00000144567.11	-1.0369796926513244	5.737421488218228
ENSG00000180914.11	-1.3010810514318774	5.076696705377012
ENSG00000225733.8	-1.2410186122154654	5.322197715084281
ENSG00000153560.12	-1.0317788439273414	5.52993620919474
ENSG00000206538.9	-1.3067837214321756	6.209072417110892
ENSG00000163320.12	-1.0099235506990043	5.051723320322214
ENSG00000163428.4	-1.1205794729188812	5.111359148320362
ENSG00000173706.15	-1.0358337441148056	8.01304036231128
ENSG00000127418.15	-1.481301958216136	5.462975259734978
ENSG00000078140.14	-1.0492519111552996	5.097429085189651
ENSG00000134852.15	-1.052470217471134	5.204125965718234
ENSG00000138675.17	-1.2902174917855813	5.926421263047848
ENSG00000138685.18	-1.2222647632344108	5.158286082823945
ENSG00000151012.13	-1.2166421703987211	5.124962462033021
ENSG00000129128.13	-1.25604156079911	5.232068970265982
ENSG00000134363.12	-2.069576879596858	5.341424320340005
ENSG00000118985.16	-1.1021784019519805	5.709961417369616
ENSG00000187678.10	-1.0202306594707373	6.380284031474757
ENSG00000155850.9	-1.2512201602764739	5.331168307700166
ENSG00000070614.15	-1.1166941552822411	7.695428461612219
