"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_DISEASE","Leber hereditary optic neuropathy","7.00%","7","38","13","4888","2.03e-10","7.73e-9","69.26","7.73e-9","7.73e-9","1.59e-12"
"KEGG_PATHWAY","Oxidative phosphorylation","9.00%","9","56","138","9496","1.11e-6","1.62e-4","11.06","1.62e-4","1.52e-4","9.45e-8"
"GOTERM_BP_DIRECT","response to hypoxia","9.00%","9","92","181","19512","2.07e-6","1.53e-3","10.55","1.53e-3","1.52e-3","1.87e-7"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","12.00%","12","56","371","9496","7.10e-6","4.72e-4","5.48","1.04e-3","4.43e-4","1.25e-6"
"KEGG_PATHWAY","Huntington disease","11.00%","11","56","311","9496","9.70e-6","4.72e-4","6.00","1.42e-3","4.43e-4","1.56e-6"
"UP_SEQ_FEATURE","UNSURE:I or L","4.00%","4","93","10","20669","1.00e-5","7.75e-3","88.90","7.72e-3","7.75e-3","7.90e-8"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","6.00%","6","56","69","11605","1.77e-5","8.15e-4","18.02","8.15e-4","7.98e-4","9.10e-7"
"KEGG_PATHWAY","Diabetic cardiomyopathy","9.00%","9","56","205","9496","2.10e-5","6.46e-4","7.44","3.06e-3","6.06e-4","2.69e-6"
"KEGG_PATHWAY","Parkinson disease","10.00%","10","56","271","9496","2.21e-5","6.46e-4","6.26","3.22e-3","6.06e-4","3.39e-6"
"KEGG_PATHWAY","Prion disease","10.00%","10","56","278","9496","2.71e-5","6.59e-4","6.10","3.94e-3","6.18e-4","4.26e-6"
"GOTERM_BP_DIRECT","positive regulation of insulin-like growth factor receptor signaling pathway","4.00%","4","92","13","19512","2.71e-5","1.00e-2","65.26","1.99e-2","9.97e-3","3.20e-7"
"KEGG_PATHWAY","Chemical carcinogenesis - reactive oxygen species","9.00%","9","56","227","9496","4.36e-5","9.09e-4","6.72","6.34e-3","8.53e-4","6.20e-6"
"GOTERM_MF_DIRECT","cytochrome-c oxidase activity","4.00%","4","89","16","19272","4.93e-5","1.29e-2","54.13","1.28e-2","1.29e-2","7.41e-7"
"KEGG_PATHWAY","Thermogenesis","9.00%","9","56","234","9496","5.40e-5","9.86e-4","6.52","7.86e-3","9.26e-4","7.93e-6"
"UP_KW_LIGAND","Ubiquinone","5.00%","5","44","35","7011","5.59e-5","9.51e-4","22.76","9.51e-4","8.39e-4","2.18e-6"
"KEGG_PATHWAY","Pathways of neurodegeneration - multiple diseases","12.00%","12","56","483","9496","8.21e-5","1.33e-3","4.21","1.19e-2","1.25e-3","1.88e-5"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","37.00%","37","93","4425","20669","8.33e-5","2.26e-2","1.86","6.25e-2","2.26e-2","4.39e-5"
"GOTERM_CC_DIRECT","mitochondrial membrane","8.00%","8","92","247","20808","1.06e-4","1.77e-2","7.33","1.75e-2","1.68e-2","1.39e-5"
"UP_KW_DISEASE","Primary mitochondrial disease","9.00%","9","38","206","4888","1.17e-4","2.22e-3","5.62","4.42e-3","2.22e-3","1.98e-5"
