	PC4_loading	EnsemblID	GeneSymbol	Description
0	0.0775131614524857	ENSG00000205413	SAMD9	sterile alpha motif domain containing 9
1	0.0640357171498518	ENSG00000118495	PLAGL1	PLAG1 like zinc finger 1
2	0.0582641919266817	ENSG00000213983	AP1G2	adaptor related protein complex 1 subunit gamma 2
3	0.0548389793339427	ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B
4	-0.0478412114883881	ENSG00000249306	LINC01411	long intergenic non-protein coding RNA 1411
5	-0.0469453170771349	ENSG00000197632	SERPINB2	serpin family B member 2
6	0.0465675636769281	ENSG00000077420	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein
7	0.046527160729709	ENSG00000118898	PPL	periplakin
8	0.0459534876438822	ENSG00000132470	ITGB4	integrin subunit beta 4
9	0.0455591321104809	ENSG00000166825	ANPEP	alanyl aminopeptidase, membrane
10	-0.0449257508643155	ENSG00000116711	PLA2G4A	phospholipase A2 group IVA
11	-0.0439402601468759	ENSG00000197020	ZNF100	zinc finger protein 100
12	-0.0434700801764465	ENSG00000170373	CST1	cystatin SN
13	-0.0413365267983256	ENSG00000105492	SIGLEC6	sialic acid binding Ig like lectin 6
14	-0.0407268385075071	ENSG00000184635	ZNF93	zinc finger protein 93
15	0.0397810738061387	ENSG00000162433	AK4	adenylate kinase 4
16	0.0394118685472068	ENSG00000146950	SHROOM2	shroom family member 2
17	0.0390284448748306	ENSG00000101160	CTSZ	cathepsin Z
18	0.0390270808344498	ENSG00000107159	CA9	carbonic anhydrase 9
19	0.0383294116822706	ENSG00000128849	CGNL1	cingulin like 1
20	-0.0377828025319868	ENSG00000156395	SORCS3	sortilin related VPS10 domain containing receptor 3
21	0.0375700206644018	ENSG00000153253	SCN3A	sodium voltage-gated channel alpha subunit 3
22	-0.037409261273206	ENSG00000274290	H2BC6	H2B clustered histone 6
23	0.0369926731248687	ENSG00000112294	ALDH5A1	aldehyde dehydrogenase 5 family member A1
24	0.0369818115971836	ENSG00000137819	PAQR5	progestin and adipoQ receptor family member 5
25	0.0367920301101603	ENSG00000179583	CIITA	class II major histocompatibility complex transactivator
26	0.0366076703440133	ENSG00000086289	EPDR1	ependymin related 1
27	-0.0363438410775561	ENSG00000105877	DNAH11	dynein axonemal heavy chain 11
28	0.0358357494229427	ENSG00000143847	PPFIA4	PPFI scaffold protein A4
29	0.0357121353253018	ENSG00000022267	FHL1	four and a half LIM domains 1
30	-0.0355464851816383	ENSG00000101670	LIPG	lipase G, endothelial type
31	-0.0348407156215368	ENSG00000276410	H2BC3	H2B clustered histone 3
32	0.0348085397531679	ENSG00000205189	ZBTB10	zinc finger and BTB domain containing 10
33	0.0340709302709441	ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
34	-0.0339591433661998	ENSG00000211459	MT-RNR1	s-rRNA
35	0.0337285118860832	ENSG00000198727	MT-CYB	cytochrome b
36	-0.0335724580753733	ENSG00000145536	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
37	0.0334098159809561	ENSG00000164976	MYORG	myogenesis regulating glycosidase
38	0.0333457289644687	ENSG00000198899	MT-ATP6	ATP synthase F0 subunit 6
39	-0.0326954032485038	ENSG00000210082	MT-RNR2	l-rRNA
40	-0.0325791139741458	ENSG00000147394	ZNF185	zinc finger protein 185 with LIM domain
41	0.0324684644515181	ENSG00000198743	SLC5A3	solute carrier family 5 member 3
42	0.0318461535162173	ENSG00000099864	PALM	paralemmin
43	0.0317999906470232	ENSG00000198938	MT-CO3	cytochrome c oxidase subunit III
