Geneid	Log2_Fold_Change
ENSG00000225630.1	-2.027253408891963
ENSG00000248527.1	-1.6849412839275963
ENSG00000160075.12	-1.0798289725363066
ENSG00000116237.16	-1.3890128268153257
ENSG00000116649.10	-1.1791588426824973
ENSG00000028137.19	-1.052577769829604
ENSG00000162545.6	-1.0594992930480016
ENSG00000001461.18	-1.1885516069389954
ENSG00000117602.13	-1.0230938565146301
ENSG00000198830.13	-1.0905832285889963
ENSG00000204138.13	-1.0373805009561528
ENSG00000242125.3	-1.113374729002376
ENSG00000200087.1	1.4526357945580761
ENSG00000168528.12	-1.0560698472423535
ENSG00000163866.9	-1.0061540634872537
ENSG00000185090.15	-1.029696668012714
ENSG00000214114.9	-1.049743825171524
ENSG00000168389.18	-1.4055214412938997
ENSG00000123091.5	-1.0492010320790124
ENSG00000058804.12	-1.4696178629435992
ENSG00000116133.13	-1.0690673663152008
ENSG00000169174.13	1.469273303910235
ENSG00000162407.9	-1.2689711153266985
ENSG00000116704.8	-1.1036556061212162
ENSG00000172380.6	-1.1364860103122902
ENSG00000153904.21	-1.135707830394911
ENSG00000162645.13	1.3429028660588211
ENSG00000171488.15	-1.2599595305960833
ENSG00000117500.13	-1.1726495941549362
ENSG00000117505.13	-1.073434436318049
ENSG00000117525.14	-1.0328709667038813
ENSG00000117620.15	-1.3091214967420437
ENSG00000162695.13	-1.0136745872372677
ENSG00000162636.16	-1.0086426115403468
ENSG00000197106.7	-1.1363129670429903
ENSG00000052723.12	-1.1012152296580728
ENSG00000173218.15	-1.0324584778026056
ENSG00000231365.8	-1.3467109958254069
ENSG00000265491.5	-1.002685316806732
ENSG00000143127.13	1.1411992166336207
ENSG00000265972.6	1.8818340069692718
ENSG00000117362.13	-1.0581277271894223
ENSG00000143418.20	-1.1015182457079105
ENSG00000143515.20	-1.056319900817961
ENSG00000132688.11	1.0586635103339832
ENSG00000162734.13	-1.112284957819658
ENSG00000152332.16	-1.2221006393614084
ENSG00000185860.14	-1.024916698569457
ENSG00000197965.12	-1.1693526478582186
ENSG00000143147.15	-1.0186634645374824
ENSG00000213064.10	-1.3507939640698305
ENSG00000116199.12	-1.0570806643627755
ENSG00000186283.14	-1.0468490767732992
